Gene Name,0h-1,0h-2,0h-3,3h-1,3h-2,3h-3,9h-1,9h-2,9h-3,12h-1,12h-2,12h-3
Phex10128 CYP,0.847183,1.281657,1.343273,-0.566182,-0.246244,0.063536,0.005724,-0.552206,-0.005724,-0.070713,-0.152232,0.215928
Phex10271 OMT,0.471887,0.845325,0.892263,-0.173964,-0.546355,-0.062169,-0.389261,0.062169,0.166909,0.16893,-0.557576,-0.388346
Phex10430 2-ODD,0.138161,0.213451,0.433813,-0.465595,-1.284609,0.20539,0.063272,-0.621118,0.151786,-0.415065,-0.063272,-0.116257
Phex10528 OMT,0.004109,0.603075,1.063352,-0.114811,-0.926386,-0.073155,0.374214,0.089432,-0.004109,-0.18912,-0.064616,0.074805
Phex10546 2-ODD,0.292786,0.823163,1.366886,-0.976954,-2.737909,0.369196,-0.33813,-0.110028,0.110028,0.224287,-0.247617,-0.183916
Phex10547 2-ODD,1.15026,0.924396,1.958144,0.791504,0.209406,-3.513978,-0.641187,-0.209406,-0.25334,-1.592775,0.765971,-0.642552
Phex10710 OMT,0.273896,0.454497,0.781213,-0.010444,-0.416972,0.104705,-0.102241,-0.061218,0.208322,-0.105072,-0.373189,0.010444
Phex10805 OMT,-0.289967,0.071965,0.432301,-0.557914,-1.177754,-0.071965,0.920192,-0.092509,1.447543,-0.58315,1.201912,1.742738
Phex10825 OMT,-0.517853,0.149481,0.555093,-0.766138,-1.530004,-0.317838,0.298722,-0.077876,0.766858,-0.400358,0.077876,0.125348
Phex11000 OMT,2.009241,1.737366,2.247274,-0.482651,-0.474051,0.12917,-0.512067,0.080076,-0.080076,0.560365,-0.36269,-0.366844
Phex11051 OMT,0.334952,-0.466985,0.223286,-0.261877,-0.223286,-0.594377,0.268527,-0.614759,0.459618,-0.258934,0.345539,0.322187
Phex11078 OMT,-0.183049,0.713661,-0.07362,-0.986841,0.07362,-0.300712,0.751291,-0.118478,0.466349,-0.354683,0.178513,1.258425
Phex11126 OMT,0.045961,0.557642,0.656946,0.091779,-0.775163,0.138048,-0.372979,-0.045961,0.305336,-0.469024,-0.259569,-0.084349
Phex11279 CYP,-0.000285,0.937474,1.757049,0.433746,-0.861737,0.065068,0.269429,-2.515798,-0.575599,0.000285,-0.508196,-1.045145
Phex11315 2-ODD,-1.697323,-1.045784,-1.896851,0.55493,0.171674,0.683877,0.013654,0.111606,-0.381712,-0.013654,0.119932,-0.218945
Phex11406 OMT,0.099994,1.019812,1.45384,-0.28691,0.268475,-0.302024,-0.306343,-0.331497,1.24332,0.674561,-0.31767,-0.099994
Phex11668 CYP,0.3384,1.752594,1.643717,-0.349236,-0.906783,-1.618967,0.59338,-0.650544,-0.602462,1.000785,1.169448,-0.3384
Phex11797 CYP,0.756256,-1.107365,0.606184,-0.52159,-0.508808,-0.176205,-0.097959,0.188017,0.097959,-0.996768,0.838997,0.5713
Phex11849 OMT,0.068129,0.965597,1.03645,-0.069556,-3.46744,-0.484942,-1.911632,-0.072699,0.57264,-0.068129,0.383396,0.423066
Phex12002 CYP,0.031444,0.239989,0.570829,-0.34102,-1.07142,-0.031444,0.531891,-0.456887,1.78103,-0.338749,-0.092539,0.101484
Phex12225 OMT,0.287693,0.277314,0.539721,-0.395814,-0.744699,-0.043222,0.043222,-0.742268,-0.161014,0.245763,0.282707,-0.834428
Phex12448 OMT,0.266864,0.823644,1.096483,-0.268366,-0.633723,0.289246,-0.521835,-0.359169,0.431758,0.008692,-0.008692,-0.280778
Phex12536 OMT,0.395767,0.233994,1.164514,-0.603359,-0.491299,0.003155,-0.003155,-0.877245,-0.2808,0.02495,-0.714085,0.403571
Phex12632 CYP,0.018573,0.035474,0.554948,-0.154606,-0.805308,-0.325979,0.207373,-0.378167,-0.028916,0.057943,-0.018573,0.303687
Phex12733 2-ODD,1.091198,1.469348,1.670879,-0.268631,-0.335935,-0.211614,-0.022749,0.390297,-0.070134,0.022749,0.666263,-0.17806
Phex12819 2-ODD,-0.510412,0.148103,0.298148,-0.724024,-0.981974,-0.803484,0.186606,0.197837,0.062872,0.047265,-0.047265,-0.187059
Phex12874 2-ODD,-0.370482,0.125653,0.847002,0.106247,-0.390559,0.051367,0.227264,-0.869045,0.011741,-0.648464,-0.41027,-0.011741
Phex12898 CYP,0.927561,1.593666,1.773225,-1.095115,-0.423328,0.280621,-0.077409,-0.088347,-1.490245,0.077409,0.443002,-1.033479
Phex12923 2-ODD,0.443241,0.840997,0.679417,-0.672202,-1.011677,-0.264565,0.101294,-0.101294,0.210572,-0.845057,-0.477249,0.34803
Phex12992 OMT,-1.646358,1.066016,1.007091,-0.389541,-0.023634,-0.079611,-0.104483,0.017236,-0.017236,0.161735,0.062902,0.103739
Phex13111 CYP,0.717721,-0.121621,0.676093,0.015775,-0.741184,-0.141607,-0.591259,1.053998,0.295337,-0.650543,0.168153,-0.015775
Phex13114 OMT1,-4.172838,-2.693067,-2.212067,0.410793,-0.410793,0.524881,1.370893,-1.323653,0.9195,-0.524808,0.584812,1.331757
Phex13115 OMT1,-3.978847,-3.334989,-2.816607,0.210876,-0.210876,0.273962,1.279795,-1.663796,0.790938,-0.632257,0.589218,1.383616
Phex13252 OMT,-0.612893,0.200075,0.777716,-0.113694,-0.535764,0.014669,-0.006795,-0.083163,0.160738,-0.134786,0.006795,0.256037
Phex13288 OMT,0.064823,0.613278,0.976796,0.164676,-0.26728,0.349868,-0.064823,-0.558585,-0.253401,-0.839378,-0.243756,0.208613
Phex13451 2-ODD1,-0.261499,0.033874,0.228814,-0.200314,-0.610767,-0.366392,0.166287,0.112204,-0.613616,0.133547,-0.033874,0.216022
Phex13520 CYP,-0.187312,0.709248,1.616588,-3.851727,-0.935098,0.187312,0.710345,-2.840685,-0.496454,-1.297782,0.572687,0.596494
Phex13568 2-ODD,-0.323215,0.119961,0.562437,-0.337398,-1.1895,-0.314231,0.007258,0.122447,0.451708,-0.404542,0.487868,-0.007258
Phex13646 2-ODD,-0.485339,-0.009621,0.414478,-0.215956,-0.747605,-0.097173,-0.002424,0.430747,0.002424,0.316597,0.298063,0.289755
Phex13767 OMT,0.023674,0.504197,0.499182,-0.128533,-1.137174,-0.137727,-0.134577,0.424929,-0.023674,0.041951,0.113524,-0.04216
Phex14099 2-ODD,-1.367123,-0.109042,0.419005,0.415813,-0.058098,0.652232,0.058098,-0.506267,-0.088727,-0.480442,0.153704,0.426144
Phex14196 CYP,1.184754,1.224692,1.100029,-0.453172,-0.791474,-0.240269,0.17388,-0.252116,0.381035,0.596678,-1.49555,-0.17388
Phex1420 CYPb_1,-1.116475,-0.057626,0.592465,-0.708154,-1.358034,-0.024357,0.136196,-2.8952,0.6811,0.024357,0.101851,0.26843
Phex14202 OMT,0.102753,0.587012,0.157094,0.038543,-0.853114,0.044067,-0.038543,-0.203061,0.139261,-0.536438,-0.621728,-0.737097
Phex1421 CYP,-0.31979,0.321962,0.366225,0.789385,-0.764888,0.356657,0.187344,-0.619611,0.261327,-0.194617,-0.187344,-0.722585
Phex1422 CYPb_3,-0.259441,0.102778,0.691235,-1.774878,-0.357902,0.049265,-0.816083,-0.049265,-0.290329,0.181666,0.945418,0.972144
Phex1423 CYPb_4,-0.056335,0.462396,0.778545,-0.001766,-0.333064,0.46694,0.001766,-0.266899,-0.015682,-0.078915,0.420685,0.464439
Phex14321 CYP,0.444476,0.708997,1.225645,-0.960209,-0.569805,-0.071485,-0.099966,-1.232878,0.198487,0.416193,0.071485,-0.986365
Phex14788 OMT,-0.041355,1.38572,1.609849,-0.483977,0.449719,-0.383413,0.197465,0.66394,-0.191232,-0.580153,0.041355,-0.190532
Phex15006 2-ODD,-0.601598,-0.090608,0.371676,-0.57877,-1.496659,-1.534337,0.584534,0.096282,0.342229,-0.143139,0.304732,0.090608
Phex15084 CYP,0.464349,1.209831,1.477785,-0.357049,-0.589907,-0.093624,-0.179521,-0.733938,0.093624,-0.433876,0.664696,0.212809
Phex15199 CYP,-5.133943,-4.67514,-3.310651,0.969421,0.313342,0.603215,1.744777,0.291521,1.906359,-1.389847,-0.802223,-0.291521
Phex15393 2-ODD,0.357587,0.672677,0.624305,0.103726,-0.269589,-0.293767,-0.110892,-0.496426,-0.103726,0.314282,-0.47656,0.22193
Phex15407 OMT,-0.521837,0.702317,0.650062,-0.528983,-0.708459,-0.13848,-0.000051,-0.322917,0.160105,0.091345,0.408579,0.000051
Phex1550 2-ODD2_1,-2.074754,-1.35487,-0.782136,-0.243432,-1.034517,0.205376,1.127641,-0.205376,1.223137,0.858277,1.990852,1.682956
Phex15859 OMT,-0.199412,0.971132,1.443729,-0.661532,-0.577228,-0.448887,0.098679,-0.202386,0.34085,-0.098679,0.34554,0.352659
Phex16010 OMT,-0.126486,0.87774,0.711513,0.009751,-0.154782,0.229758,-0.201637,-0.009751,-0.362442,0.273825,-0.147824,0.09882
Phex16125 2-ODD,-0.441207,0.678665,0.354191,0.120204,-0.764718,0.074055,0.079749,-0.191436,0.095192,-0.410777,-0.238008,-0.074055
Phex16321 OMT,0.715236,1.205635,0.903204,-0.088175,0.088175,-0.668823,-0.501358,-0.120335,0.17479,-0.30535,0.569051,-0.242766
Phex16400 OMT,-0.761587,-0.075212,0.299626,-0.315438,-1.236767,-0.16139,0.437916,0.367564,0.439601,-0.658275,0.57766,0.075212
Phex16622 CYP1_1,-0.864409,-0.053783,0.140077,0.350277,-0.873014,-0.537812,-1.055053,0.108619,0.650968,0.75611,0.053783,-0.497386
Phex16766 2-ODD,-0.147002,0.592904,-0.0075,0.0075,-0.644111,0.038138,-0.059223,0.708587,0.403046,-0.008977,-0.119262,0.182525
Phex17331 OMT,-0.362096,0,-0.303932,-1.963127,0,-2.957619,0.167159,1.753625,0.480858,1.55269,-0.600794,0.401963
Phex17345 2-ODD,-0.152451,-0.01136,0.644833,-0.240233,0.080425,0.190991,-0.233637,0.285682,0.245665,-1.031589,-0.317109,0.01136
Phex17419 OMT,0.064722,1.006494,1.29447,-0.33681,-0.307688,-0.064722,0.297293,0.718434,-0.360191,-0.244972,0.804427,-0.210571
Phex17447 OMT,0.042185,0.866325,1.302101,0.597236,-0.839817,0.317606,-0.216881,-0.502013,0.329347,-0.126403,-0.042185,-0.156687
